Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin.Path	File.Offset..s.	Delta.Time..s.	Song	selec.file	old.selec	channel	duration	min.n.samples	sample.rate	channels	bits	sound.file.samples	check.res	especie	fuente	expansion
0.001889829	0.002531529	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.001889829	1305	Spectrogram 1	1	51157.9	100421.1	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.001889829	NA	NA	Arti.lit.GC.010.txt	1	1	0.0006417	246	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
0.054466288	0.055033215	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.054466288	1306	Spectrogram 1	1	51157.9	116210.5	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.054466288	NA	NA	Arti.lit.GC.010.txt	2	1	0.000566927000000002	217	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
0.056260576	0.056891893	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.056260576	1307	Spectrogram 1	1	51789.5	71368.4	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.056260576	NA	NA	Arti.lit.GC.010.txt	3	1	0.000631316999999999	242	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
0.077787811	0.07841022	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.077787811	1308	Spectrogram 1	1	49578.9	109894.7	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.077787811	NA	NA	Arti.lit.GC.010.txt	4	1	0.000622409000000004	239	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
0.101208921	0.101790407	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.101208921	1309	Spectrogram 1	1	49177	122181.8	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.101208921	NA	NA	Arti.lit.GC.010.txt	6	1	0.000581486000000006	223	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
0.126929682	0.127386564	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.126929682	1310	Spectrogram 1	1	49004.8	119425.8	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.126929682	NA	NA	Arti.lit.GC.010.txt	8	1	0.00045688200000002	175	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
0.174036957	0.174473071	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.174036957	1311	Spectrogram 1	1	46306.2	124019.1	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.174036957	NA	NA	Arti.lit.GC.010.txt	10	1	0.000436114000000015	167	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
0.198376293	0.198781256	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.198376293	1312	Spectrogram 1	1	45358.9	122181.8	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.198376293	NA	NA	Arti.lit.GC.010.txt	12	1	0.00040496299999998	155	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
0.223302502	0.223749001	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.223302502	1313	Spectrogram 1	1	47311	118047.8	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.223302502	NA	NA	Arti.lit.GC.010.txt	14	1	0.000446498999999989	171	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
0.249774726	0.250179689	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.249774726	1314	Spectrogram 1	1	40421.1	120861.2	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.249774726	NA	NA	Arti.lit.GC.010.txt	15	1	0.00040496299999998	155	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
0.295674795	0.296245897	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.295674795	1315	Spectrogram 1	1	44095.7	134210.5	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.295674795	NA	NA	Arti.lit.GC.010.txt	16	1	0.00057110199999999	219	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
0.32347344	0.324013392	M00030.WAV-song_Arti.lit.GC.010.txt.wav	/home/m/Dropbox/Projects/Phyllostomid call evolution/data/processed/M00030.WAV-song_Arti.lit.GC.010.txt.wav	0.32347344	1316	Spectrogram 1	1	17454.5	127693.8	C:\Users\Nazareth\Documents\Datos acusticos\M00030.WAV	0.32347344	NA	NA	Arti.lit.GC.010.txt	17	1	0.00053995200000001	207	384	1	16	2359152	OK	Artibeus lituratus	GChaverri	NA
